route_no,hour_of_day,day_type,occupancy_pct,avg_wait_time_min,traffic_score,event_impact_score,active_buses_on_route,route_demand_index,temp_celsius,buses_to_add
45A,0,0,0.2,6.4,1.82,0.69,13,0.91,36.6,0
15G,19,1,0.754,17.5,4.55,0.64,15,0.72,36.3,0
5C,9,0,0.97,11.5,4.03,0.0,16,0.85,34.1,4
27D,4,0,0.2,10.5,2.07,0.0,11,0.75,27.0,0
5C,19,0,1.122,19.7,5.0,0.1,13,0.85,36.5,5
19C,11,0,0.747,7.6,1.69,0.0,10,0.78,23.4,0
104,13,1,0.456,13.2,2.82,0.14,15,0.8,28.2,0
104,7,0,1.05,21.1,4.36,0.0,10,0.8,40.4,3
M70,17,0,0.512,15.7,3.07,0.19,8,0.6,40.3,0
21G,10,0,1.06,10.8,2.99,0.0,15,0.92,28.2,5
104,23,1,0.2,7.8,1.14,0.0,14,0.8,38.7,0
104,17,0,1.392,20.9,4.09,0.0,10,0.8,25.1,4
27D,22,1,0.337,7.9,1.0,0.0,10,0.75,38.0,0
101,6,0,0.32,8.8,1.79,0.0,15,0.85,39.7,0
45A,7,0,1.376,12.8,3.05,0.0,16,0.91,41.3,4
32B,22,1,0.2,9.6,1.63,0.0,9,0.68,28.7,0
47A,2,0,0.364,5.9,1.8,0.0,15,0.95,29.3,0
19C,2,1,0.259,10.0,1.28,0.31,11,0.78,36.0,0
M70,8,0,0.981,21.9,4.54,0.0,11,0.6,38.5,0
15G,3,0,0.2,7.3,1.44,0.0,12,0.72,34.0,0
M70,9,1,0.508,22.7,4.59,0.0,11,0.6,29.1,0
102,0,0,0.22,8.7,1.0,0.0,10,0.65,27.9,0
29B,21,0,0.88,2.6,1.15,0.0,14,0.7,27.4,1
70,18,0,1.082,19.3,4.7,0.0,11,0.86,28.9,3
21C,10,0,1.323,17.8,4.02,0.0,13,0.9,35.9,5
12E,1,0,0.537,10.2,1.89,0.16,12,0.88,35.2,0
29C,5,1,0.2,13.7,1.75,0.36,11,0.88,28.3,0
45A,20,1,0.801,15.9,3.42,0.0,15,0.91,38.9,0
101,9,0,1.051,23.2,4.17,0.0,12,0.85,39.7,4
27D,22,0,0.48,10.5,2.03,0.0,14,0.75,39.7,0
15G,11,0,0.593,3.6,1.0,0.0,10,0.72,40.7,0
M70,13,0,0.771,8.7,2.09,0.0,8,0.6,30.0,0
M70,19,1,0.286,19.5,4.53,0.0,10,0.6,39.1,0
101,4,0,0.2,5.7,1.0,0.0,13,0.85,41.6,0
32B,23,0,0.418,7.6,1.0,0.0,8,0.68,30.0,0
104,12,0,0.657,10.0,2.45,0.0,11,0.8,23.2,0
45A,22,1,0.502,7.1,1.98,0.55,13,0.91,32.7,0
9A,3,0,0.307,3.2,1.25,0.19,15,0.93,27.1,0
12E,7,0,1.167,18.7,4.19,0.0,11,0.88,39.0,4
104,2,0,0.431,9.3,1.77,0.0,15,0.8,26.9,0
29C,8,0,1.324,21.5,4.53,0.0,14,0.88,37.1,5
5C,10,1,0.811,15.5,3.52,0.0,12,0.85,22.0,0
47A,13,1,0.731,7.0,2.24,0.0,12,0.95,41.6,0
21G,7,0,1.526,18.4,4.06,0.0,16,0.92,29.8,5
5C,21,1,0.93,9.0,1.41,0.0,11,0.85,31.5,1
101,17,1,1.072,18.8,3.77,0.0,13,0.85,35.7,4
47A,13,0,1.133,11.2,2.27,0.45,17,0.95,27.5,4
19C,23,0,0.544,5.4,1.45,0.0,14,0.78,28.2,0
12E,14,1,0.387,13.4,2.12,0.0,10,0.88,39.3,0
29C,7,0,0.947,12.8,3.74,0.0,16,0.88,22.7,2
29B,19,1,0.867,21.0,4.43,0.0,14,0.7,27.0,0
12E,15,0,0.436,11.1,1.55,0.0,12,0.88,29.9,0
45A,5,0,0.334,8.5,1.35,0.0,11,0.91,24.9,0
19C,13,0,0.71,15.2,3.26,0.0,10,0.78,39.7,0
21C,12,0,0.962,10.9,2.19,0.0,12,0.9,22.8,0
27D,10,0,1.091,16.4,3.18,0.0,15,0.75,39.4,5
70,14,1,0.853,9.5,1.64,0.0,13,0.86,37.7,1
29B,8,0,0.883,18.9,5.0,0.0,12,0.7,37.8,1
104,11,0,0.752,2.0,1.29,0.0,15,0.8,31.9,0
15G,18,0,1.226,19.4,4.6,0.1,12,0.72,32.9,5
9A,3,0,0.2,7.7,2.13,0.0,14,0.93,33.8,0
19C,2,0,0.273,9.9,2.05,0.0,12,0.78,31.8,0
45A,13,0,0.873,8.3,2.18,0.0,12,0.91,28.2,0
29B,4,0,0.362,5.6,2.19,0.0,15,0.7,23.5,0
32B,15,0,0.367,3.9,1.39,0.0,13,0.68,33.8,0
19C,0,0,0.2,3.4,1.0,0.0,15,0.78,38.9,0
19C,23,0,0.351,10.6,2.33,0.24,15,0.78,25.6,0
5C,0,0,0.212,3.0,1.87,0.0,16,0.85,32.6,0
11D,19,1,0.549,16.8,4.42,0.0,15,0.7,36.6,0
12E,4,1,0.2,8.7,1.82,0.1,12,0.88,35.5,0
104,15,1,0.402,7.2,1.68,0.0,10,0.8,42.0,0
12E,8,1,0.795,15.7,4.4,0.0,11,0.88,35.4,0
12E,1,1,0.2,7.4,1.13,0.0,12,0.88,27.9,0
M70,20,0,0.545,17.8,2.99,0.0,11,0.6,32.9,0
29B,11,0,0.782,9.5,1.94,0.0,14,0.7,32.0,0
27D,15,1,0.347,6.8,1.0,0.0,11,0.75,36.4,0
102,12,1,0.2,14.3,2.73,0.0,14,0.65,25.9,0
11D,21,0,0.721,8.9,1.66,0.0,14,0.7,32.8,0
29C,9,0,1.11,17.9,3.95,0.0,10,0.88,39.2,5
11D,6,0,0.2,8.1,1.27,0.3,13,0.7,39.7,0
9A,8,0,1.154,18.7,4.65,0.0,11,0.93,37.6,5
104,3,0,0.211,4.6,1.23,0.0,10,0.8,26.7,0
19C,1,0,0.2,5.6,1.4,0.0,14,0.78,34.1,0
102,9,0,0.926,21.3,3.98,0.0,10,0.65,30.9,0
M70,8,0,0.721,19.1,4.87,0.22,12,0.6,29.1,0
23C,12,0,0.908,9.8,2.59,0.19,16,0.92,29.3,2
47A,22,0,0.767,6.8,1.29,0.0,14,0.95,25.4,0
15G,22,1,0.2,7.3,2.03,0.0,14,0.72,25.0,0
5C,19,1,0.735,17.5,3.74,0.0,10,0.85,27.1,0
27D,6,1,0.679,5.3,1.56,0.0,13,0.75,23.8,0
9A,0,0,0.242,2.5,1.0,0.0,17,0.93,33.5,0
5C,19,0,1.431,17.6,4.12,0.38,10,0.85,41.1,5
15G,1,0,0.263,5.5,1.28,0.2,13,0.72,38.5,0
11D,20,0,0.397,17.2,3.88,0.0,13,0.7,30.6,0
11D,13,1,0.224,10.5,2.32,0.0,15,0.7,34.4,0
104,18,0,1.008,19.7,4.47,0.0,11,0.8,41.7,3
9A,2,0,0.224,4.0,1.37,0.0,16,0.93,23.2,0
23C,3,1,0.307,8.9,1.67,0.0,14,0.92,36.5,0
5C,19,0,0.969,15.3,4.47,0.0,12,0.85,38.6,1
5C,22,0,0.528,4.8,1.34,0.0,11,0.85,34.4,0
11D,20,1,0.485,15.5,3.73,0.0,13,0.7,33.0,0
70,22,0,0.32,5.7,1.79,0.0,14,0.86,37.7,0
11D,16,1,0.282,5.9,1.0,0.0,9,0.7,40.6,0
27D,20,1,0.72,11.5,2.53,0.0,9,0.75,32.4,0
104,4,1,0.229,9.0,1.57,0.0,14,0.8,38.0,0
29B,23,0,0.448,7.4,1.0,0.0,12,0.7,35.2,0
104,10,0,0.927,13.1,2.84,0.0,15,0.8,22.4,1
27D,7,0,0.904,13.1,3.3,0.0,14,0.75,41.2,2
101,9,1,1.06,21.7,4.15,0.0,11,0.85,37.0,3
102,9,0,0.642,17.6,3.78,0.0,8,0.65,40.6,0
19C,18,1,0.553,21.3,4.4,0.0,11,0.78,39.6,0
19C,8,0,1.261,14.6,4.0,0.52,14,0.78,32.8,4
101,1,0,0.2,9.5,1.86,0.0,12,0.85,25.0,0
19C,12,0,0.787,15.2,2.82,0.0,14,0.78,39.5,0
45A,4,0,0.274,9.1,1.75,0.0,11,0.91,27.6,0
29B,9,0,0.842,19.0,4.64,0.0,11,0.7,37.7,0
70,3,0,0.289,5.8,1.06,0.0,15,0.86,35.6,0
29C,18,1,0.262,22.4,4.79,0.0,16,0.88,39.7,0
29B,4,0,0.307,4.2,1.34,0.0,15,0.7,23.9,0
M70,3,0,0.2,10.7,1.28,0.0,11,0.6,35.5,0
101,18,0,1.04,22.8,5.0,0.0,10,0.85,35.9,3
12E,20,1,0.884,7.6,2.39,0.0,16,0.88,29.4,0
45A,10,1,1.198,13.0,3.41,0.0,11,0.91,37.7,5
45A,5,1,0.281,8.3,1.84,0.36,13,0.91,28.0,0
104,9,1,0.691,15.1,3.49,0.0,14,0.8,38.1,0
15G,4,1,0.2,7.7,1.31,0.31,9,0.72,27.2,0
29B,22,1,0.456,5.5,1.42,0.0,14,0.7,27.4,0
9A,12,1,0.488,5.4,2.55,0.0,15,0.93,28.9,0
45A,17,1,0.752,18.8,4.35,0.0,17,0.91,38.6,0
32B,4,1,0.2,11.7,1.82,0.0,8,0.68,34.2,0
9A,0,0,0.233,5.8,1.49,0.0,12,0.93,32.9,0
47A,10,0,1.512,12.3,3.25,0.0,16,0.95,24.8,5
29C,1,0,0.356,10.6,1.96,0.54,15,0.88,23.0,0
21G,6,1,0.404,8.7,2.13,0.0,17,0.92,39.6,0
32B,8,0,1.113,20.9,4.4,0.0,8,0.68,32.8,3
12E,6,0,0.711,5.3,1.33,0.0,12,0.88,23.9,0
9A,3,0,0.312,6.3,1.3,0.0,11,0.93,32.7,0
15G,19,0,0.802,18.6,4.45,0.0,11,0.72,25.7,0
5C,15,0,0.541,4.3,1.34,0.0,15,0.85,28.4,0
21C,12,1,0.747,12.4,2.96,0.0,16,0.9,23.9,0
23C,19,1,0.906,15.5,3.99,0.0,15,0.92,24.2,0
102,1,1,0.2,6.1,1.0,0.0,10,0.65,26.9,0
21C,20,0,1.308,16.7,3.92,0.12,16,0.9,38.9,5
29B,0,0,0.318,3.3,1.03,0.0,12,0.7,35.1,0
21C,7,0,1.267,20.5,4.0,0.0,13,0.9,28.1,5
29B,20,0,1.012,18.5,3.64,0.0,9,0.7,27.2,1
12E,22,0,0.673,7.5,1.94,0.0,15,0.88,32.9,0
29B,18,1,0.48,18.3,4.62,0.0,14,0.7,39.2,0
104,13,1,0.673,16.0,2.47,0.0,10,0.8,34.6,0
104,14,0,0.704,3.6,1.35,0.0,10,0.8,34.0,0
29B,8,0,0.898,20.1,4.38,0.0,12,0.7,28.8,2
29C,16,0,0.443,2.8,1.0,0.0,14,0.88,38.6,0
29B,11,0,0.436,6.5,1.51,0.0,13,0.7,28.8,0
70,21,0,1.398,6.9,1.99,0.0,13,0.86,26.7,4
29B,21,0,0.949,11.5,1.66,0.0,11,0.7,34.7,1
101,16,0,0.561,5.9,1.82,0.0,11,0.85,34.2,0
11D,19,0,0.932,17.9,4.27,0.0,14,0.7,27.7,2
21G,9,0,1.427,18.3,4.14,0.0,11,0.92,39.6,5
9A,6,0,0.683,8.6,2.03,0.0,13,0.93,25.3,0
27D,11,1,0.568,9.0,1.64,0.0,13,0.75,41.1,0
5C,7,1,1.019,16.1,3.58,0.0,15,0.85,24.3,4
21C,3,0,0.2,3.8,1.42,0.0,11,0.9,37.0,0
47A,8,0,1.32,17.4,4.14,0.12,17,0.95,24.4,5
12E,2,0,0.2,5.9,1.0,0.0,14,0.88,38.2,0
12E,20,0,1.197,13.1,3.42,0.0,12,0.88,39.2,5
19C,1,0,0.2,11.1,2.38,0.0,15,0.78,29.4,0
23C,0,0,0.2,3.9,1.0,0.0,14,0.92,39.8,0
21C,14,0,0.784,9.2,1.52,0.0,13,0.9,33.9,0
21G,5,1,0.356,9.6,1.3,0.0,14,0.92,24.1,0
21G,12,1,0.559,7.8,2.05,0.0,16,0.92,25.2,0
101,5,1,0.2,5.3,1.35,0.0,15,0.85,29.4,0
5C,2,1,0.314,5.5,1.97,0.33,15,0.85,33.1,0
47A,12,1,0.756,9.9,2.56,0.0,13,0.95,36.2,0
21G,20,0,1.302,15.0,2.71,0.0,15,0.92,31.8,5
21G,2,1,0.2,8.9,1.13,0.0,11,0.92,36.6,0
27D,4,0,0.522,5.3,1.0,0.28,13,0.75,23.2,0
70,8,1,0.668,22.5,5.0,0.37,15,0.86,27.7,0
21C,23,0,0.601,11.0,1.8,0.0,11,0.9,37.3,0
23C,6,1,0.202,8.8,1.37,0.0,11,0.92,26.8,0
12E,2,0,0.2,14.2,2.43,0.16,15,0.88,34.9,0
19C,1,0,0.2,8.7,1.68,0.0,14,0.78,22.3,0
21C,3,1,0.2,5.9,1.24,0.0,15,0.9,39.7,0
29B,1,0,0.2,7.3,1.69,0.0,10,0.7,30.1,0
12E,10,0,1.456,17.5,3.14,0.24,10,0.88,36.1,5
47A,12,0,1.0,9.7,2.5,0.0,12,0.95,40.6,2
M70,20,1,0.604,16.4,2.91,0.0,10,0.6,24.5,0
21G,22,0,0.607,7.6,1.0,0.0,12,0.92,34.7,0
101,13,0,0.563,5.7,1.99,0.0,15,0.85,37.5,0
101,11,0,0.861,9.2,1.53,0.0,11,0.85,27.4,0
45A,16,0,0.602,7.9,1.37,0.0,11,0.91,23.7,0
102,0,0,0.289,7.1,1.43,0.0,9,0.65,39.8,0
11D,18,1,0.657,21.6,4.86,0.0,10,0.7,40.6,0
15G,14,0,0.534,4.1,1.28,0.0,13,0.72,24.6,0
23C,14,1,0.294,5.4,1.43,0.0,15,0.92,41.1,0
9A,2,0,0.2,5.7,1.32,0.0,16,0.93,33.0,0
23C,1,0,0.599,5.7,1.35,0.46,17,0.92,41.5,0
19C,20,0,1.042,16.9,3.27,0.0,9,0.78,29.4,1
21G,21,1,0.848,2.0,1.13,0.0,15,0.92,22.4,0
23C,13,0,0.86,6.4,1.85,0.0,17,0.92,27.3,0
102,3,0,0.2,7.7,2.06,0.0,14,0.65,39.1,0
15G,14,1,0.2,4.3,1.37,0.0,14,0.72,28.8,0
M70,19,0,1.052,22.3,5.0,0.0,12,0.6,31.2,2
23C,7,0,1.208,22.1,4.07,0.0,12,0.92,23.2,5
23C,7,1,0.936,18.8,4.01,0.0,11,0.92,34.4,0
15G,12,0,0.925,10.8,2.15,0.39,9,0.72,27.8,0
45A,8,0,1.342,18.0,4.68,0.0,11,0.91,41.2,5
47A,14,0,0.568,8.6,1.44,0.24,16,0.95,22.9,0
12E,7,0,1.514,14.5,3.63,0.56,12,0.88,22.3,5
23C,11,1,0.53,6.5,1.27,0.33,16,0.92,34.8,0
M70,16,0,0.435,12.8,2.09,0.0,8,0.6,29.5,0
15G,10,0,1.227,15.4,3.32,0.0,10,0.72,27.1,5
29B,11,0,0.531,6.9,1.36,0.0,11,0.7,32.3,0
M70,16,0,0.2,9.6,1.75,0.0,13,0.6,37.8,0
70,19,0,1.377,21.4,4.75,0.19,10,0.86,27.6,4
23C,4,1,0.369,5.9,1.42,0.0,15,0.92,27.6,0
M70,14,1,0.513,5.1,1.37,0.0,14,0.6,26.1,0
27D,8,0,0.589,13.1,3.11,0.0,14,0.75,38.2,0
27D,3,0,0.338,8.5,1.77,0.0,9,0.75,27.8,0
11D,4,0,0.2,8.7,1.48,0.0,9,0.7,41.5,0
M70,6,0,0.226,3.5,1.09,0.0,14,0.6,36.6,0
23C,14,0,0.683,3.1,1.11,0.0,12,0.92,36.3,0
104,13,0,0.606,10.5,1.75,0.0,15,0.8,23.6,0
15G,9,0,1.025,18.9,4.59,0.0,14,0.72,22.8,2
21G,3,1,0.2,10.0,1.13,0.0,11,0.92,29.4,0
9A,23,0,0.647,10.4,2.74,0.0,17,0.93,35.9,0
M70,16,0,0.215,12.6,1.76,0.0,8,0.6,33.2,0
21C,16,0,0.496,7.6,1.88,0.0,14,0.9,38.8,0
27D,13,1,0.539,14.3,2.28,0.0,11,0.75,32.7,0
27D,18,0,1.013,18.5,4.7,0.0,14,0.75,38.2,4
23C,11,0,0.883,7.0,1.65,0.0,17,0.92,39.0,2
104,18,0,0.872,18.3,4.63,0.0,13,0.8,30.2,0
21C,4,1,0.2,4.2,1.23,0.0,16,0.9,35.6,0
47A,14,0,0.982,4.4,1.25,0.29,16,0.95,40.3,3
15G,16,0,0.455,7.3,1.66,0.0,10,0.72,28.9,0
19C,6,0,0.607,14.1,2.18,0.0,9,0.78,33.0,0
12E,21,0,1.164,2.5,1.03,0.18,12,0.88,22.3,5
12E,14,0,0.575,5.5,1.83,0.0,15,0.88,34.0,0
23C,0,0,0.2,9.6,2.36,0.0,13,0.92,33.8,0
47A,12,0,0.846,12.2,2.61,0.0,14,0.95,40.8,0
15G,3,1,0.201,6.8,2.07,0.0,14,0.72,37.0,0
45A,14,1,0.574,6.2,1.44,0.0,13,0.91,34.3,0
9A,9,1,0.663,15.7,4.43,0.0,17,0.93,27.4,0
29C,1,0,0.249,3.2,1.22,0.0,12,0.88,33.9,0
29C,22,1,0.307,6.3,1.7,0.29,12,0.88,29.4,0
9A,5,1,0.252,5.8,1.52,0.0,14,0.93,35.3,0
47A,10,0,1.509,11.9,3.1,0.0,13,0.95,30.9,4
11D,3,0,0.262,8.8,1.84,0.0,11,0.7,24.1,0
29B,13,0,0.58,12.6,2.59,0.0,13,0.7,38.3,0
70,18,0,1.12,21.5,4.84,0.0,13,0.86,33.1,4
70,23,1,0.2,10.2,1.72,0.22,10,0.86,23.6,0
11D,2,0,0.275,7.1,1.39,0.0,13,0.7,39.2,0
29B,21,0,0.764,4.2,1.0,0.0,12,0.7,25.3,0
27D,20,1,0.777,11.9,3.38,0.0,10,0.75,28.9,0
102,9,1,0.511,24.8,4.33,0.0,9,0.65,26.9,0
45A,21,0,1.17,7.3,1.67,0.0,16,0.91,33.1,5
21C,0,0,0.345,9.8,1.93,0.0,12,0.9,33.5,0
29C,14,0,0.625,3.5,1.0,0.0,14,0.88,35.8,0
M70,12,0,0.544,11.9,2.45,0.0,12,0.6,39.1,0
29B,14,1,0.491,13.7,2.03,0.0,10,0.7,38.7,0
29C,8,0,1.127,20.0,4.94,0.0,12,0.88,31.7,5
32B,7,0,1.089,15.3,4.29,0.0,9,0.68,41.4,1
21G,12,0,0.795,6.7,2.62,0.0,15,0.92,26.4,0
32B,7,0,0.875,17.9,4.05,0.0,10,0.68,29.0,1
102,1,0,0.2,3.4,1.42,0.0,12,0.65,33.0,0
29C,12,0,0.836,11.8,3.23,0.0,13,0.88,34.4,0
M70,8,0,0.714,19.9,4.06,0.0,14,0.6,39.8,0
5C,20,0,1.413,15.9,3.93,0.0,11,0.85,29.7,5
27D,12,0,0.597,15.5,2.84,0.0,15,0.75,24.7,0
104,22,0,0.297,10.1,2.07,0.0,15,0.8,40.8,0
21C,12,1,0.477,8.4,1.79,0.0,17,0.9,38.3,0
23C,22,1,0.259,7.9,1.01,0.0,12,0.92,30.6,0
21C,4,0,0.2,6.8,1.64,0.0,12,0.9,26.0,0
27D,6,1,0.439,11.5,2.07,0.0,10,0.75,36.1,0
12E,15,1,0.533,5.9,1.74,0.0,12,0.88,22.4,0
104,21,0,1.128,8.6,1.4,0.0,14,0.8,37.2,5
45A,10,0,1.361,13.1,3.05,0.0,13,0.91,37.1,5
47A,9,0,1.271,19.4,4.21,0.0,13,0.95,29.4,4
5C,18,0,1.074,18.8,5.0,0.0,15,0.85,31.1,5
101,23,1,0.373,5.5,1.55,0.0,14,0.85,41.5,0
15G,21,0,1.203,9.2,1.99,0.0,12,0.72,31.1,5
32B,17,0,0.817,12.9,3.79,0.0,14,0.68,31.1,0
70,5,0,0.2,5.2,1.0,0.0,14,0.86,23.6,0
102,7,0,0.873,17.4,4.22,0.0,11,0.65,23.7,1
29C,13,0,1.058,9.7,2.47,0.3,12,0.88,35.8,4
27D,14,1,0.339,2.1,1.25,0.0,12,0.75,29.9,0
21G,9,1,0.764,16.6,4.12,0.0,14,0.92,23.1,0
15G,19,0,0.676,14.9,3.79,0.0,13,0.72,38.0,0
32B,7,0,0.73,15.6,3.23,0.0,11,0.68,24.9,0
12E,23,0,0.629,8.3,1.28,0.0,11,0.88,34.3,0
5C,5,1,0.2,3.2,1.07,0.0,13,0.85,31.2,0
15G,22,0,0.377,6.4,1.49,0.0,9,0.72,32.9,0
19C,7,0,0.905,16.5,3.87,0.0,12,0.78,31.4,0
19C,11,0,0.687,10.2,1.36,0.0,9,0.78,28.6,0
23C,7,0,1.42,18.6,4.56,0.0,17,0.92,40.6,4
12E,5,1,0.2,5.8,1.47,0.0,12,0.88,38.5,0
12E,7,0,1.16,17.2,4.3,0.0,11,0.88,33.1,5
5C,19,0,1.449,21.4,4.21,0.0,15,0.85,33.8,4
11D,9,1,0.81,18.9,4.74,0.0,9,0.7,27.9,0
27D,17,1,1.058,16.6,4.1,0.35,13,0.75,25.1,4
101,16,1,0.462,6.0,1.43,0.0,11,0.85,32.2,0
70,14,1,0.544,2.2,1.06,0.0,16,0.86,27.6,0
70,8,1,0.823,17.8,3.88,0.0,10,0.86,25.8,0
19C,0,0,0.2,8.3,1.53,0.0,11,0.78,37.5,0
27D,22,1,0.2,8.5,1.0,0.0,11,0.75,26.7,0
102,23,0,0.435,6.4,1.56,0.32,10,0.65,34.4,0
5C,18,0,1.063,21.9,4.97,0.0,14,0.85,41.8,4
29B,13,0,0.702,14.3,2.89,0.0,9,0.7,40.8,0
101,3,0,0.2,5.1,1.3,0.0,16,0.85,26.9,0
15G,8,1,0.63,13.5,3.3,0.0,10,0.72,24.3,0
29C,16,0,0.382,7.7,1.75,0.0,11,0.88,37.1,0
23C,22,0,0.455,6.3,1.88,0.0,16,0.92,28.8,0
70,16,1,0.2,2.4,1.48,0.0,14,0.86,33.9,0
32B,20,0,0.82,15.9,3.47,0.0,13,0.68,36.7,0
23C,17,0,1.425,18.4,4.03,0.0,12,0.92,23.7,5
5C,12,0,0.785,9.8,2.54,0.0,12,0.85,36.8,0
104,10,0,1.234,6.3,2.4,0.36,16,0.8,41.8,4
